dataset_id,dataset_name,analytical_module,hazard_type,scenario_type,time_period,spatial_resolution_m,geographic_coverage,data_format,access_type,download_url,gee_asset_id,license,citation,doi,version,preprocessing_notes,limitations,description,grain_type,admin_level,access_params
wb_findex_access,World Bank Global Findex (financial inclusion),adaptive_capacity,,,,,"[""global""]",csv,reference_table,https://www.worldbank.org/en/publication/globalfindex,,CC-BY-4.0,"Demirgüç-Kunt, A., Klapper, L., Singer, D., & Ansar, S. (2022). The Global Findex Database 2021: Financial Inclusion, Digital Payments, and Resilience in the Age of COVID-19. World Bank.",10.1596/978-1-4648-1897-4,2021,Use 'account ownership' or 'borrowed from formal financial institution' as the rural-finance proxy; subnational requires_upload via national surveys.,"Survey-based, country-level only; subnational requires_upload.","WB Global Findex — financial inclusion indicators (account ownership, savings, credit, mobile money). Survey-based, admin0, triennial.",admin,admin0,
faostat_country_indicators,FAOSTAT — country agricultural statistics,adaptive_capacity,,,,,"[""global""]",csv,reference_table,https://www.fao.org/faostat/en/,,CC-BY-4.0,FAO (2024). FAOSTAT statistical database. Rome: Food and Agriculture Organization of the United Nations.,,live,Use producer prices + trade volumes as a market-depth proxy; subnational requires country-team uploads.,Admin0 granularity; subnational variation invisible.,"FAO statistical database — country agricultural production, trade, prices, food balances. Admin0, annual.",admin,admin0,
ilo_labour_statistics,ILOSTAT — labour statistics,adaptive_capacity,,,,,"[""global""]",csv,reference_table,https://ilostat.ilo.org/,,CC-BY-4.0,"ILO (2024). ILOSTAT — Labour Statistics. International Labour Organization, Geneva.",,live,Use 'agricultural employment as % of total employment' as the rural-labour-availability framing; pair with LSMS-ISA for subnational where present.,Country-level only; subnational variation requires LSMS-ISA or country uploads.,"International Labour Organization ILOSTAT — labour-force participation, agricultural employment share, wage indicators. Admin0, annual.",admin,admin0,
jrc_global_flood_hazard,JRC Global Flood Hazard Maps (Dottori et al. 2016),climate_hazard,flood,baseline,,1000,"[""global""]",geotiff,direct_download,https://data.jrc.ec.europa.eu/dataset/jrc-floods-floodmapgl_rp50y-tif,,CC-BY-4.0,"Dottori, F., Salamon, P., Bianchi, A., Alfieri, L., Hirpa, F. A., & Feyen, L. (2016). Development and evaluation of a framework for global flood hazard mapping. Advances in Water Resources, 94, 87-102.",10.1016/j.advwatres.2016.05.002,2016,Pick return-period band (100y default for scoping); model assumes existing flood protection per FLOPROS.,River flooding only — pluvial/urban + coastal flooding need separate layers (e.g. WRI Aqueduct Coastal). Hydrological-model uncertainty in data-sparse basins.,"JRC global river-flood hazard maps — return-period flood depth grids (e.g. 100-year, 500-year) at ~30 arc-second (~1 km).",grid,,
wri_aqueduct_water_stress,WRI Aqueduct 4.0 — water stress baseline,climate_hazard,,baseline,,1000,"[""global""]",geotiff,direct_download,https://www.wri.org/data/aqueduct-water-risk-atlas,,CC-BY-4.0,"Kuzma, S., Saccoccia, L., & Chertock, M. (2023). 25 Countries, Housing One-quarter of the Population, Face Extremely High Water Stress. World Resources Institute (Aqueduct 4.0).",,4.0,Use the baseline-water-stress (BWS) layer; SSP scenarios available for future projections.,Basin/admin1 granularity; not pixel-level.,"World Resources Institute Aqueduct 4.0 baseline water-stress index — ratio of withdrawals to renewable supply, at HydroSHEDS basin level + admin1.",grid,,
undp_gii_national,UNDP Gender Inequality Index (GII),opportunity_space,,,,,"[""global""]",csv,direct_download,https://hdr.undp.org/data-center/thematic-composite-indices/gender-inequality-index,,CC-BY-4.0,"UNDP (2024). Gender Inequality Index (GII). Human Development Report Office, United Nations Development Programme.",,2022,"National-flag layer; subnational disaggregation requires_upload (LSMS, DHS).","Admin0 only — no subnational variation. Per T5 spatial-grain rule, surfaces as qualified flag, not hotspot driver.","UNDP Human Development Report Office Gender Inequality Index — composite of reproductive health, empowerment, labour-market gender gap. Admin0, annual.",admin,admin0,
lesiv_smallholder_farm_size,Lesiv et al. Global field-size / smallholder share,opportunity_space,,,,1000,"[""global""]",geotiff,direct_download,https://pure.iiasa.ac.at/15526,,CC-BY-4.0,"Lesiv, M., Bayas, J. C. L., See, L., Duerauer, M., Dahlia, D., Durando, N., et al. (2019). Estimating the global distribution of field size using crowdsourcing. Global Change Biology, 25, 174-186.",10.1111/gcb.14492,2019,Use field-size class or smallholder fraction depending on T5 framing.,Crowdsourced — sampling uneven; complements national agricultural censuses rather than replaces them.,"Lesiv et al. (2019) global field-size and smallholder-share dataset — derived from crowdsourced photo-interpretation, ~1 km. Field-size class + smallholder fraction.",grid,,
mapspam_v2,MapSPAM 2017 v2.0 — global crop production value,opportunity_space,,,,10000,"[""global""]",geotiff,direct_download,https://www.mapspam.info/,,CC-BY-4.0,International Food Policy Research Institute (IFPRI) (2024). Global Spatially-Disaggregated Crop Production Statistics Data for 2017 Version 2.0. Harvard Dataverse.,10.7910/DVN/SWPENT,v2.0 (2017 baseline),Sum economic value across crops for a generic production-value layer; per-crop layers also available.,Modelled allocation (not surveyed); coarse ~10 km; specific tree-perennial coverage weak (use Forest Data Partnership for cocoa/coffee/palm).,"IFPRI/IIASA Spatial Production Allocation Model (MapSPAM) v2.0 — gridded crop area, yield, production, value for 42 crops at ~10 km.",grid,,
isric_soilgrids250_v2_soc,ISRIC SoilGrids 250m v2.0 -- Soil Organic Carbon,structural_suitability,,,circa 2000–2015,250,"[""global""]",geotiff_cog,gee_asset,https://www.isric.org/explore/soilgrids,projects/soilgrids-isric/soc_mean,CC-BY-4.0,"Poggio, L. et al. (2021). SoilGrids 2.0: producing soil information for the globe with quantified spatial uncertainty. SOIL, 7, 217–240.",10.5194/soil-7-217-2021,v2.0,"Extract layers at 0–30 cm depth (topsoil) and 30–60 cm (subsoil). Resample to 1 km. pH, SOC, clay content, CEC are primary agroforestry suitability constraints per Ahmad et al. (2020), Chuma et al. (2021), Haile (2024). [FIX 2026-08: gee_asset_id completado a phh2o_mean -- antes apuntaba a la carpeta del proyecto sin la propiedad especifica, lo cual no es un asset valido.]",Prediction uncertainty is high in data-sparse regions (much of sub-Saharan Africa). Point observations biased toward accessible areas. Temporal static — does not capture land-use change effects on soil. Not for: Precision soil management at plot level; nutrient management plans without ground-truthing,Global digital soil mapping (250 m) of physical and chemical soil properties at six depths.,grid,,
worldclim_v2_bioclim_temp,WorldClim v2.1 Bioclimatic Variables -- bio1 (annual mean temperature),climate_hazard,multi,baseline,1970-2000,1000,"[""global""]",geotiff,direct_download,https://geodata.ucdavis.edu/climate/worldclim/2_1/base/wc2.1_30s_bio.zip,,CC-BY-4.0,"Fick, S.E. & Hijmans, R.J. (2017). WorldClim 2. International Journal of Climatology, 37(12), 4302-4315.",10.1002/joc.5086,v2.1,,,"Global gridded bioclimatic variables (BIO1-BIO19), 1970-2000.",grid,,"{""local_filename"": ""wc2.1_30s_bio_1.tif""}"
worldclim_v2_bioclim_precip,WorldClim v2.1 Bioclimatic Variables -- bio12 (annual precipitation),climate_hazard,multi,baseline,1970-2000,1000,"[""global""]",geotiff,direct_download,https://geodata.ucdavis.edu/climate/worldclim/2_1/base/wc2.1_30s_bio.zip,,CC-BY-4.0,"Fick, S.E. & Hijmans, R.J. (2017). WorldClim 2. International Journal of Climatology, 37(12), 4302-4315.",10.1002/joc.5086,v2.1,,,"Global gridded bioclimatic variables (BIO1-BIO19), 1970-2000.",grid,,"{""local_filename"": ""wc2.1_30s_bio_12.tif""}"
