search_id,nbs_id,suitability_family_id,table,category,search_terms,screening_steps,inclusion_criteria,limits,n_retrieved,n_screened,n_included,search_date,run_id,searched_by,ruleset_version,discovery_log_ref,note
agroforestry__T6__stock__agroforestry__linear_boundary__2026-08-05,agroforestry,agroforestry__linear_boundary,T6,stock,"OpenAlex title.search: (windbreak OR shelterbelt) AND (yield OR carbon OR biodiversity)  [188 hits] ;  (hedgerow OR ""living fence"" OR ""contour hedgerow"") AND (yield OR carbon OR income)  [138 hits]  — sort=cited_by_count:desc, per_page=12",frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T6 = outcomes (yield/adoption/income/carbon/biodiversity) + indicative scoping-grade cost; adoption/MEL included; species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,326,24,5,2026-08-05,targeted_discovery_2026-08,Pete/Claude,v1.4.1,agroforestry_linear_boundary_T6_2026-08.md,Seminal/high-cite slice. Strong on carbon (shelterbelt SOC Canada/China) + a 636-cite Ecology Letters hedgerow pest/pollination/yield meta-analysis. Temperate/HIC-heavy; one tropical biodiversity classic (live fences/windbreaks). PICOS: practice explicit in titles.
agroforestry__T6__updated_lit__agroforestry__linear_boundary__2026-08-05,agroforestry,agroforestry__linear_boundary,T6,updated_lit,"OpenAlex title.search filter+publication_year:2015-2026: (hedgerow OR ""living fence"" OR shelterbelt) AND (adoption OR smallholder OR tropical)  [10 hits] ;  (windbreak OR shelterbelt) AND (yield OR income OR cost)  [20 hits]  — sort=cited_by_count:desc",frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T6 = outcomes (yield/adoption/income/carbon/biodiversity) + indicative scoping-grade cost; adoption/MEL included; species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,30,22,5,2026-08-05,targeted_discovery_2026-08,Pete/Claude,v1.4.1,agroforestry_linear_boundary_T6_2026-08.md,"Recent focus surfaced the LMIC adoption/observed-reality signal: living fences Cambodia, vetiver hedgerow adoption Ethiopia, Battambang living-fence adoption dataset, shelterbelt cost/benefit/obstacle study. Yield-effect papers still HIC (Kansas-Nebraska, NE China)."
agroforestry__T6__grey__agroforestry__linear_boundary__2026-08-05,agroforestry,agroforestry__linear_boundary,T6,grey,WebSearch (EN+ES): 'windbreak shelterbelt living fence cost per hectare establishment yield benefit smallholder WOCAT FAO field manual' ; 'CIPAV living fence cerca viva costo beneficio ganadería América Latina cortina rompevientos rendimiento' ; 'WOCAT SLM technology contour hedgerow vegetative barrier establishment cost benefit yield database' ; 'World Bank ICRAF windbreak shelterbelt Great Green Wall Sahel cost per hectare carbon farmer income project',frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T6 = outcomes (yield/adoption/income/carbon/biodiversity) + indicative scoping-grade cost; adoption/MEL included; species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,34,18,4,2026-08-05,targeted_discovery_2026-08,Pete/Claude,v1.4.1,agroforestry_linear_boundary_T6_2026-08.md,"Best LMIC cost/benefit sits in grey: WOCAT SLM DB (contour hedgerows Afghanistan, structured cost+fodder-yield fields), CIPAV/LRRD living-fence establishment cost (Latin America), a global tropical living-fence review (ES), and WB IEG/FAO Great Green Wall project evidence (carbon/jobs/income). US NRCS $/ft cost standards found but HIC."
agroforestry__T6__tool__agroforestry__linear_boundary__2026-08-05,agroforestry,agroforestry__linear_boundary,T6,tool,"GitHub REST + gh search repos: 'windbreak+shelterbelt+suitability' [0], 'riparian+buffer+siting+GIS' [0], 'hedgerow placement optimization' [0], 'windbreak', 'shelterbelt suitability', 'agroforestry suitability GEE', 'riparian buffer siting'",frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T6 = outcomes (yield/adoption/income/carbon/biodiversity) + indicative scoping-grade cost; adoption/MEL included; species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,8,6,1,2026-08-05,targeted_discovery_2026-08,Pete/Claude,v1.4.1,agroforestry_linear_boundary_T6_2026-08.md,"Almost nothing for T6 (outcomes/cost-effectiveness) — GitHub tools in this space are T4 placement/suitability, not outcome/cost models. Only saraheb3/AgroforestrySuitability_GEE has explicit Field-Buffer + Riparian-Buffer branches, but it computes placement masks (T4), hardcodes no outcome/cost params, and is US-Midwest (HIC). Low T6 relevance."
agroforestry__T6__stock__agroforestry__silvopastoral__2026-08-05,agroforestry,agroforestry__silvopastoral,T6,stock,OpenAlex title.search: (silvopastoral OR silvopasture OR silvopastoril OR sylvopastoral) AND (carbon OR yield OR income OR adoption OR biodiversity OR livestock) | sort=cited_by_count:desc,frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T6 = outcomes (yield/adoption/income/carbon/biodiversity) + indicative scoping-grade cost; adoption/MEL included; species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,371,15,5,2026-08-05,targeted_discovery_2026-08,Pete/Claude,v1.4.1,agroforestry_silvopastoral_T6_2026-08.md,"High-cite/seminal slice. Dominated by carbon-stock ecology (Florida, Dehesa/Spain, India) + a strong adoption cluster (Shrestha, Dagang C.America, Giraldo, Garbach PES). Screened out pure soil-fraction/N-cycling ecology papers with no T6 outcome/cost quantity. LMIC representation good via Central America + Colombia."
agroforestry__T6__updated_lit__agroforestry__silvopastoral__2026-08-05,agroforestry,agroforestry__silvopastoral,T6,updated_lit,"OpenAlex title.search: (silvopastoral OR silvopasture OR silvopastoril OR sylvopastoral) AND (adoption OR income OR cost OR profitability OR smallholder) , from_publication_date:2015-01-01 | sort=cited_by_count:desc",frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T6 = outcomes (yield/adoption/income/carbon/biodiversity) + indicative scoping-grade cost; adoption/MEL included; species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,33,15,5,2026-08-05,targeted_discovery_2026-08,Pete/Claude,v1.4.1,agroforestry_silvopastoral_T6_2026-08.md,"Recent adoption/profitability slice. Heavily Latin-American (Colombia Amazon+Andes, Argentina Gran Chaco, Chile) plus a recent LatAm barriers review (Chamorro-Vargas 2025). Orefice 2016 gives US forage productivity+profitability. Most are OA gold/green; two carbon/profit ones paywalled."
agroforestry__T6__grey__agroforestry__silvopastoral__2026-08-05,agroforestry,agroforestry__silvopastoral,T6,grey,WebSearch EN: 'silvopastoral systems cost per hectare adoption benefits carbon livestock manual World Bank FAO WOCAT' ; WebSearch ES: 'CIPAV sistemas silvopastoriles costos beneficios ganaderia carbono adopcion Colombia informe' ; WebSearch EN: 'World Bank GEF Mainstreaming Sustainable Cattle Ranching Colombia silvopastoral implementation completion report cost per hectare',frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T6 = outcomes (yield/adoption/income/carbon/biodiversity) + indicative scoping-grade cost; adoption/MEL included; species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,25,12,4,2026-08-05,targeted_discovery_2026-08,Pete/Claude,v1.4.1,agroforestry_silvopastoral_T6_2026-08.md,"Diamond WB project-evidence hit: GCS/Mainstreaming Sustainable Cattle Ranching (P104687) with quantified ICR-grade outcomes ($523/ha/yr income, +36% milk, -25% GHG/L, 32k ha converted). CIPAV (LatAm-grounded org) + WWF FoodForward NDC brief + Nicaragua PES. Grey positive-bias discount applies to benefit claims (per project memory)."
agroforestry__T6__tool__agroforestry__silvopastoral__2026-08-05,agroforestry,agroforestry__silvopastoral,T6,tool,GitHub API: q=silvopast OR silvopasture OR silvopastoral (rate-limited 403) ; q=agroforestry+suitability OR agroforestry+carbon+model (rate-limited 403) ; WebSearch fallback (allowed_domains=github.com): 'github silvopastoral OR agroforestry carbon sequestration model tool R python repository cost benefit livestock' ; WebSearch: 'Drawdown silvopasture cost per hectare tCO2 net cost model data',frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T6 = outcomes (yield/adoption/income/carbon/biodiversity) + indicative scoping-grade cost; adoption/MEL included; species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,10,6,1,2026-08-05,targeted_discovery_2026-08,Pete/Claude,v1.4.1,agroforestry_silvopastoral_T6_2026-08.md,"GitHub search API 403 rate-limited (unauthenticated shared IP) — used WebSearch github.com fallback. No silvopasture-SPECIFIC codebase found. Generic carbon tools (forest-carbon-lite, wri/carbon-budget) are practice-agnostic -> PICOS fails. Only practice-explicit tool with hardcoded T6 cost/CO2 params = Project Drawdown silvopasture model (net cost $424.20/ha; establishment $1.06-4825/ha; cost/tCO2 = netcost/seq). Needs code interrogation + commit pin."
agroforestry__T3__stock__agroforestry__silvopastoral__2026-08-05,agroforestry,agroforestry__silvopastoral,T3,stock,title.search:(silvopastoral OR silvopasture OR silvopastoril OR sylvopastoral) AND (drought OR heat OR resilience OR climate) | sort=cited_by_count:desc,frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T3 = climate-hazard response of the practice (drought/heat/flood/wind/erosion); species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,84,15,4,2026-08-05,targeted_discovery_2026-08,Pete/Claude,v1.4.1,agroforestry_silvopastoral_T3_2026-08.md,OpenAlex seminal/high-cite slice. Strong LMIC (Brazil/Colombia) skew; dominant T3 signals = animal heat-stress/thermal comfort + dry-season forage/drought resilience + microclimate/soil-moisture buffering. Excluded per-species tree-legume envelope papers (Leucaena/Eucalyptus growth) as claim_scope=species.
agroforestry__T3__updated_lit__agroforestry__silvopastoral__2026-08-05,agroforestry,agroforestry__silvopastoral,T3,updated_lit,"title.search:(silvopastoral OR silvopasture OR silvopastoril) AND (drought OR heat OR flood OR erosion OR wind OR microclimate OR shade OR resilience),from_publication_date:2015-01-01 | sort=cited_by_count:desc",frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T3 = climate-hazard response of the practice (drought/heat/flood/wind/erosion); species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,59,20,5,2026-08-05,targeted_discovery_2026-08,Pete/Claude,v1.4.1,agroforestry_silvopastoral_T3_2026-08.md,Recent focused slice 2015-2026. Heavy on microclimate/thermal-comfort and drought x forage/ET; Caatinga & Argentina semi-arid entries add LMIC dryland coverage. Flood/wind/erosion barely represented in titles (gap). Two strongest recent drought/heat papers paywalled -> acquisition_queue.
agroforestry__T3__grey__agroforestry__silvopastoral__2026-08-05,agroforestry,agroforestry__silvopastoral,T3,grey,EN: 'silvopastoral systems climate resilience drought heat livestock field manual WOCAT FAO CIPAV Latin America' | ES: 'sistemas silvopastoriles resiliencia climatica sequia ganado manual CIPAV FAO guia tecnica',frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T3 = climate-hazard response of the practice (drought/heat/flood/wind/erosion); species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,16,16,4,2026-08-05,targeted_discovery_2026-08,Pete/Claude,v1.4.1,agroforestry_silvopastoral_T3_2026-08.md,"WebSearch EN+ES. High-authority LMIC-grounded set: FAO/CIPAV/Agri-Benchmark Chara 2019 synthesis (OA PDF), CIPAV Zapata field manual (ES, OA), CATIE chapter (ES, OA), FAO STI drought-fodder project brief. WOCAT SLM DB not directly surfaced this pass (next iteration: query WOCAT technologies portal directly)."
agroforestry__T3__tool__agroforestry__silvopastoral__2026-08-05,agroforestry,agroforestry__silvopastoral,T3,tool,WebSearch: 'silvopasture GitHub suitability model GIS MCDA grazing shade tree livestock tool' + GitHub API repo search: q=silvopasture / silvopastoral / agroforestry+suitability+grazing / silvopasture+model (sort=stars),frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T3 = climate-hazard response of the practice (drought/heat/flood/wind/erosion); species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,20,10,1,2026-08-05,targeted_discovery_2026-08,Pete/Claude,v1.4.1,agroforestry_silvopastoral_T3_2026-08.md,"GitHub totals: silvopasture=6, silvopastoral=14, all 0-star research/hobby repos. NO climate-hazard-response suitability/MCDA engine exists for F3. Only decision-analysis Monte-Carlo economic models (hortibonn, CWWhitney) and a meta-analysis data repo. Generic GIS-MCDA (AgriSuit) is practice-agnostic -> excluded per PICOS. Tool process is a genuine gap for T3."
agroforestry__T6__stock__agroforestry__homegardens_proximity__2026-08-05,agroforestry,agroforestry__homegardens_proximity,T6,stock,"OpenAlex title.search (cited_by desc): ""homegarden agroforestry""; ""homegarden carbon storage""; ""home garden income nutrition""",frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T6 = outcomes (yield/adoption/income/carbon/biodiversity/nutrition) + indicative cost; species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,137,24,3,2026-08-05,discovery_crossfam_homegardens_2026-08,Pete/Claude,v1.4.1,agroforestry_homegardens_proximity_T6_2026-08.md,"Core high-cite corpus is 'homegarden agroforestry' (137). Rich in biodiversity/carbon/production outcomes. Many top-cited are Ethiopian species-diversity descriptors (biodiversity outcome ok, but skew T5). Seminal reviews (Kumar & Nair 2004) and carbon/income foundations (Roshetko 2002, Fernandes & Nair 1984) screened in; per-species diversity-only papers deprioritised."
agroforestry__T6__updated_lit__agroforestry__homegardens_proximity__2026-08-05,agroforestry,agroforestry__homegardens_proximity,T6,updated_lit,"OpenAlex title.search from_publication_date:2015-01-01 (cited_by desc): ""homegarden agroforestry"" (89); ""home garden agroforestry"" (36); ""home garden agroforestry food security"" (4)",frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T6 = outcomes (yield/adoption/income/carbon/biodiversity/nutrition) + indicative cost; species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,89,20,4,2026-08-05,discovery_crossfam_homegardens_2026-08,Pete/Claude,v1.4.1,agroforestry_homegardens_proximity_T6_2026-08.md,"Recent literature strongly outcome-oriented: SDG/food-security reviews, adoption determinants (Ethiopia), and household nutrition+income (Odisha). Adoption & dis-adoption well covered as observed-reality evidence. Geographic skew to Ethiopia/India; Indonesia/Kerala/Sri Lanka underrepresented in recent title hits."
agroforestry__T6__grey__agroforestry__homegardens_proximity__2026-08-05,agroforestry,agroforestry__homegardens_proximity,T6,grey,WebSearch EN: 'WOCAT home garden homestead agroforestry technology tropical yield income'; 'FAO TECA home garden agroforestry food security nutrition income smallholder tropical'; 'World Bank home garden homestead agroforestry cost per beneficiary nutrition income impact evaluation'. ES: 'huerto familiar agroforestal seguridad alimentaria ingresos nutrición trópico WOCAT ICRAF',frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T6 = outcomes (yield/adoption/income/carbon/biodiversity/nutrition) + indicative cost; species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,26,12,3,2026-08-05,discovery_crossfam_homegardens_2026-08,Pete/Claude,v1.4.1,agroforestry_homegardens_proximity_T6_2026-08.md,WOCAT SLM technology entry (tech_1103) and FAO RAP-2006/14 nutrition report are diamond grey classes; a Longdom financial-analysis paper gives scoping-grade income/cost. WB project docs (Chhattisgarh nutrition-agri P170645) touch cost-per-beneficiary but not homegarden-specific figures. Grey positive-bias discount applies (T6 benefit claims).
agroforestry__T6__tool__agroforestry__homegardens_proximity__2026-08-05,agroforestry,agroforestry__homegardens_proximity,T6,tool,WebSearch: 'github home garden homestead agroforestry suitability model settlement proximity multistrata mapping',frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T6 = outcomes (yield/adoption/income/carbon/biodiversity/nutrition) + indicative cost; species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,6,6,0,2026-08-05,discovery_crossfam_homegardens_2026-08,Pete/Claude,v1.4.1,agroforestry_homegardens_proximity_T6_2026-08.md,"No tool hardcodes homegarden T6 OUTCOME/COST parameters. Hits (saraheb3/AgroforestrySuitability_GEE, OpenCLIM/ecocrop, ML suitability papers) are T4 suitability/niche engines — out of scope for T6 and ecocrop is per-crop species envelope. Tool process yields nothing for outcomes+cost; genuine gap."
agroforestry__T4__stock__agroforestry__homegardens_proximity__2026-08-05,agroforestry,agroforestry__homegardens_proximity,T4,stock,OpenAlex title.search runs (cited_by_count desc): 'homegardens' (775); 'home gardens agroforestry' (48); 'homegarden diversity' (166); 'homestead agroforestry' (54); '(homegarden OR home garden OR homestead agroforestry OR compound farm) tropical' (487),frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T4 = biophysical + system_constraint (+hard legal masks); soft enabling-env excluded (operational_risk); species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,775,40,3,2026-08-05,discovery_crossfam_homegardens_2026-08,Pete/Claude,v1.4.1,agroforestry_homegardens_proximity_T4_2026-08.md,"Dominant high-cite corpus is OUTCOME literature (agrobiodiversity, plant-species inventories, carbon stocks, nutrition/food-security). Genuine T4 SUITABILITY signal is thin and mostly framed as system_constraint (homesteads gate location) + a broad humid-tropical biophysical envelope. Included the seminal structural/distribution reviews (Nair lineage) that characterise where homegardens occur; excluded per-species ethnobotany/carbon-outcome papers as off-scope for T4."
agroforestry__T4__updated_lit__agroforestry__homegardens_proximity__2026-08-05,agroforestry,agroforestry__homegardens_proximity,T4,updated_lit,"OpenAlex title.search, from_publication_date:2015-01-01: 'homegarden suitability' (0); 'homegarden distance homestead' (0); 'homegarden spatial distribution mapping' (0); 'homegarden climate' (16); 'homestead agroforestry adoption' (1); 'home garden agroforestry tropical' (2015+) (1)",frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T4 = biophysical + system_constraint (+hard legal masks); soft enabling-env excluded (operational_risk); species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,16,16,1,2026-08-05,discovery_crossfam_homegardens_2026-08,Pete/Claude,v1.4.1,agroforestry_homegardens_proximity_T4_2026-08.md,"suitability / proximity / spatial-mapping title queries returned ZERO — no recent paper frames homegarden establishment as a spatial-suitability problem at title level. Recent corpus is climate-adaptation / mitigation / resilience-index OUTCOMES. Best T4-relevant recent item is the South Asia climate-variability & adaptation multi-country study (climatic context envelope), OA diamond. Rift-Valley/Tigray/Boloso-Sore items are adaptation/mitigation outcomes, low T4 value."
agroforestry__T4__grey__agroforestry__homegardens_proximity__2026-08-05,agroforestry,agroforestry__homegardens_proximity,T4,grey,"WebSearch EN: 'WOCAT tropical homegarden homestead agroforestry SLM technology suitability'; 'FAO home garden agroforestry establishment requirements climate soil rainfall tropical guidelines'; ES: '""home garden"" OR ""huerto familiar"" agroforestería suitability requisitos climáticos altitud tropical'",frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T4 = biophysical + system_constraint (+hard legal masks); soft enabling-env excluded (operational_risk); species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,25,12,3,2026-08-05,discovery_crossfam_homegardens_2026-08,Pete/Claude,v1.4.1,agroforestry_homegardens_proximity_T4_2026-08.md,Best structured suitability grey source is WOCAT SLM DB (land_use = settlements; per-technology climate/altitude/slope/soil fields) — Chagga Homegardens #1337 is a PICOS-clean tropical multistrata homegarden. WOCAT 'Agroforestry and home gardens' SLM/gender PDF and CATIE Spanish establishment manual add site-selection context. FAO agroforestry primer is generic (site factors named: climate/soil/drainage/rainfall) but not homegarden-specific — supporting only.
agroforestry__T4__tool__agroforestry__homegardens_proximity__2026-08-05,agroforestry,agroforestry__homegardens_proximity,T4,tool,WebSearch: 'home garden agroforestry spatial suitability mapping GIS GitHub'; GitHub repo inspection of saraheb3/AgroforestrySuitability_GEE,frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T4 = biophysical + system_constraint (+hard legal masks); soft enabling-env excluded (operational_risk); species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,6,3,0,2026-08-05,discovery_crossfam_homegardens_2026-08,Pete/Claude,v1.4.1,agroforestry_homegardens_proximity_T4_2026-08.md,"Only candidate tool (saraheb3/AgroforestrySuitability_GEE, gee_scripts/ + gee_app/, 17 commits) targets alley cropping / riparian buffers / silvopasture / windbreaks over US temperate land with 9 temperate tree species — NO homegarden/homestead code branch or criterion. PICOS FAIL for this family (practice not in source; wrong context). No homegarden-specific spatial-suitability tool exists on GitHub/platforms. Zero tools included."
agroforestry__T3__stock__agroforestry__homegardens_proximity__2026-08-05,agroforestry,agroforestry__homegardens_proximity,T3,stock,"OpenAlex title.search:""homegarden agroforestry"" sort=cited_by_count:desc per_page=15 (TOTAL=137); + title.search:""home garden agroforestry"" (TOTAL=48); + title.search:""Cuban home gardens social-ecological resilience"" for the seminal resilience item",frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T3 = climate-hazard response of the practice; species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,185,18,2,2026-08-05,discovery_crossfam_homegardens_2026-08,Pete/Claude,v1.4.1,agroforestry_homegardens_proximity_T3_2026-08.md,"High-cite corpus is dominated by structure/diversity/carbon-stock descriptive work (off-scope for T3). Two seminal items carry explicit climate-hazard buffering: Chagga (microclimate/multistorey buffering, Kilimanjaro) and Buchmann Cuban homegardens (social-ecological resilience to hurricanes/drought/food-supply shocks). Both closed-access -> acquisition_queue."
agroforestry__T3__updated_lit__agroforestry__homegardens_proximity__2026-08-05,agroforestry,agroforestry__homegardens_proximity,T3,updated_lit,"OpenAlex title.search:""homegarden agroforestry"",from_publication_date:2015-01-01 sort=cited_by_count:desc (TOTAL=89); + title.search:""homegarden climate"" (TOTAL=21)",frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T3 = climate-hazard response of the practice; species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,110,22,5,2026-08-05,discovery_crossfam_homegardens_2026-08,Pete/Claude,v1.4.1,agroforestry_homegardens_proximity_T3_2026-08.md,"Richest process for T3. Recent literature explicitly frames homegardens as climate-adaptation/resilience units: a dedicated climate-resilience index for homegardens (Quandt 2024), multi-country South Asia climate-variability adaptation (Mattsson 2018), Ethiopian Rift Valley + Boloso Sore adaptation-strategy studies, and a microclimate-regulation-efficiency measurement study. Mostly OA; microclimate study paywalled -> queue."
agroforestry__T3__grey__agroforestry__homegardens_proximity__2026-08-05,agroforestry,agroforestry__homegardens_proximity,T3,grey,"WebSearch EN: ""home garden agroforestry drought climate resilience WOCAT FAO TECA smallholder""; WebSearch ES: ""huerto casero agroforesteria sequia resiliencia climatica (jardin tropical) OR quintal agroflorestal clima""; WebSearch: ""WOCAT OR ICRAF home garden homestead agroforestry drought flood buffer climate adaptation case study tropical""",frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T3 = climate-hazard response of the practice; species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,24,24,1,2026-08-05,discovery_crossfam_homegardens_2026-08,Pete/Claude,v1.4.1,agroforestry_homegardens_proximity_T3_2026-08.md,"Grey returns are overwhelmingly GENERIC agroforestry-for-drylands (FAO Kenya/Uganda/Tanzania scaling, FAO practitioner field guide, CIFOR-ICRAF Southern Africa) where the home-garden/proximity practice is NOT the explicit unit -> PICOS fail, logged but not included. One borderline institutional item retained as context (LMIC, drought/flood buffering). WOCAT SLM-technologies DB not directly queryable via WebSearch snippet; needs a direct DB pull (gap)."
agroforestry__T3__tool__agroforestry__homegardens_proximity__2026-08-05,agroforestry,agroforestry__homegardens_proximity,T3,tool,"WebSearch: ""github home garden agroforestry suitability model tree crop proximity settlement distance script""; GitHub API: repos/saraheb3/AgroforestrySuitability_GEE (commit af338e8, tree + gee_app blob grep home garden|settlement|weight|practice)",frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T3 = climate-hazard response of the practice; species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,3,3,0,2026-08-05,discovery_crossfam_homegardens_2026-08,Pete/Claude,v1.4.1,agroforestry_homegardens_proximity_T3_2026-08.md,"No in-scope tool. saraheb3/AgroforestrySuitability_GEE is US-Midwest only; practice enum = {Alley Cropping, Riparian Buffers, Silvopasture, Windbreaks} (line 189-193) with hardcoded ACweights=[5,5,3,2,5] (line 260) and CRP/easement/nitrate US variables -> NO home-garden proximity branch = PICOS fail. OpenCLIM/ecocrop is per-species FAO EcoCrop niche = species-envelope, excluded. Odisha ML-suitability item is a paper, not a runnable tool. No tool encodes homegarden climate-hazard response."
agroforestry__T3__stock__agroforestry__cross_family__2026-08-05,agroforestry,agroforestry__cross_family,T3,stock,"OpenAlex title.search (cited_by desc): ""agroforestry climate change adaptation""; ""agroforestry microclimate""; ""agroforestry drought resilience""; ""trees on farms climate adaptation""; ""agroforestry ecosystem services resilience""",frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T3 = climate-hazard response of the practice; species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,250,24,4,2026-08-05,discovery_crossfam_homegardens_2026-08,Pete/Claude,v1.4.1,agroforestry_cross_family_T3_2026-08.md,High-cite cross-family corpus. title.search restrictive so ran 5 disjoint strings; totals summed (167+66+11+2+4). Two seminal (Verchot 2007 mit/adapt review; Lin 2007 microclimate-extremes) paywalled -> acquisition_queue. Quandt 2017 (Kenya floods/drought) OA + LMIC = strongest T3 fit.
agroforestry__T3__updated_lit__agroforestry__cross_family__2026-08-05,agroforestry,agroforestry__cross_family,T3,updated_lit,"OpenAlex title.search + from_publication_date:2015-01-01 (cited_by desc): ""agroforestry climate resilience adaptation""; ""agroforestry drought heat buffering""",frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T3 = climate-hazard response of the practice; species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,7,7,3,2026-08-05,discovery_crossfam_homegardens_2026-08,Pete/Claude,v1.4.1,agroforestry_cross_family_T3_2026-08.md,"Thin at title-only; the recent items in the stock 'climate change adaptation' pool (COSUST 2023 gaps review, 2022 intercropping) overlap and were triaged here. 'drought heat buffering' returned 0 (title fields too specific). All screened-in are OA reviews framed cross-practice."
agroforestry__T3__grey__agroforestry__cross_family__2026-08-05,agroforestry,agroforestry__cross_family,T3,grey,"WebSearch EN: ""agroforestry climate resilience buffering drought heat WOCAT FAO TECA technical guidance""; ES: ""agroforestería resiliencia climática sequía sombra árboles manual técnico ICRAF World Bank""",frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T3 = climate-hazard response of the practice; species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,16,10,4,2026-08-05,discovery_crossfam_homegardens_2026-08,Pete/Claude,v1.4.1,agroforestry_cross_family_T3_2026-08.md,FAO family-farming portal yields two directly-T3 items (extreme-weather risk-reduction assessment; practitioner field guide). CIFOR-ICRAF Agroforestry primer (EN+ES) is design/management with microclimate/drought-buffer content. Excluded blog/SEO pages and species-crop guides.
